id;item;work;unit_of_work;deleted_at;created_at;updated_at
1;ATU 1;Roce y Limpieza de La Faja;mes;;;
2;ATU 2;Retiro de Basuras y Desechos;mes;;;
3;ATU 3.1;Reparación de Cercos de Alambre de Púas;m;;;
4;ATU 3.2;Reparación de Cercos Especial (Malla Metálica);m;;;
5;ATU 3.3;Reparación de Cercos Especial (Pandereta);m;;;
6;ATU 6;Limpieza de Fosos, Contrafosos y Canales ;m;;;
7;ATU 7;Limpieza de Alcantarillas y Sifones ;m;;;
8;ATU 8;Limpieza de cunetas;m;;;
9;ATU 10;Limpieza de Bajadas de Aguas;Unidad;;;
10;ATU 10.1;"Limpieza de Cámaras de Inspección, Tipo ""A""";Unidad;;;
11;ATU 10.2;"Limpieza de Cámaras de Inspección, Tipo ""B""";Unidad;;;
12;ATU 10.3;Limpieza de Cámaras de Inspección Especial;Unidad;;;
13;ATU 10.4;Reemplazo de Tapas de Cámaras;Unidad;;;
14;ATU 10.5;Reemplazo de Escalines;Unidad;;;
15;ATU 11.1;Reemplazo de Soleras tipo A;m;;;
16;ATU 11.2;Reemplazo de Solerillas;m;;;
17;ATU 13;Reconstrucción de Fosos y Contrafosos;m;;;
18;ATU 15;Sellado de Grietas en Pavimentos Asfálticos;m;;;
19;ATU 16.1;Bacheo Superficial en Pavimentos Asfálticos;m2;;;
20;ATU 16.2;Bacheo Superficial en Calles de Servicio;m2;;;
21;ATU 16.3;Bacheo Superficial en Ciclovía;m2;;;
22;ATU 17;Bacheos en berma;m2;;;
23;ATU 17.1;Bacheo Profundo en pavimentos asfálticos de Vía Expresa;m2;;;
24;ATU 17.2;Bacheo Profundo en pavimentos asfálticos de Calles de Servicio;m2;;;
25;ATU 20;Pintura de Barandas Metálicas;m;;;
26;ATU 21.1;Limpieza de Señales Verticales Laterales;m2;;;
27;ATU 21.2;Limpieza de Señales Verticales Sobre Calzada;m2;;;
28;ATU 22.1;Reparación de Señales Verticales Laterales;m2;;;
29;ATU 22.2 ;Reparación de Señales Verticales Sobre Calzada;m2;;;
30;ATU 23;Reacondicionamiento de Postes para Señales Verticales Laterales;Unidad;;;
31;ATU 24.1;Reacondicionamiento de Señales Verticales Laterales;Unidad;;;
32;ATU 24.2;Reacondicionamiento de Señales Verticales Sobre Calzada;Unidad;;;
33;ATU 25.2;Reemplazo Balizas Iluminadas;Unidad;;;
34;ATU 25.3;Reemplazo Topes Vehiculares;Unidad;;;
35;ATU 25.4;Bandera Portaseñal;Unidad;;;
36;ATU 25.5;Marco Portaseñal en 4 pistas;Unidad;;;
37;ATU 25.6;Marco Portaseñal en 5 pistas;Unidad;;;
38;ATU 26;Limpieza de Elementos Reflectantes en Barreras Metálicas;Unidad;;;
39;ATU 27.1;Reposición de Barreras Metálicas de Seguridad, Doble Onda;m;;;
40;ATU 27.2;Reposición de Barreras Metálicas de Seguridad, Triple Onda;m;;;
41;ATU 28.1;Colocación de Barreras Metálicas de Seguridad, Doble Onda;m;;;
42;ATU 28.2;Colocación de Barreras Metálicas de Seguridad, Triple Onda;m;;;
43;ATU 28.3;Reparación de Barreras altas simples de hormigón (In Situ);m;;;
44;ATU 28.4;Reparación de Barreras especiales simples de hormigón (In Situ);m;;;
45;ATU 28.5;Amortiguadores de impacto con capacidad de redireccionamiento;Unidad;;;
46;ATU 29.1;Tachas Reflectantes;Unidad;;;
47;ATU 29.2;Resaltos reductores de velocidad;Unidad;;;
48;ATU 30.1;Demarcación del Pavimento, Línea de Eje Continúa, Tipo C1;Km.;;;
49;ATU 30.2;Demarcación del Pavimento, Línea Lateral Continúa, Tipo C2;Km.;;;
50;ATU 32.1;Demarcación del Pavimento, Línea de Eje Segmentada, Tipo A1;Km.;;;
51;ATU 32.2;Demarcación del Pavimento, Línea de Eje Segmentada, Tipo A2;Km.;;;
52;ATU 32.3;Demarcación del Pavimento, Línea Lateral Segmentada, Tipo D1;Km.;;;
53;ATU 32.4;Demarcación del Pavimento, Línea Lateral Segmentada, Tipo D2;Km.;;;
54;ATU 33.1;Demarcación del Pavimento, Líneas, símbolos y leyendas (P. Termoplástica);m2;;;
55;ATU 33.2;Demarcación del Pavimento, Líneas, símbolos y leyendas (Pintura Acrílica);m2;;;
56;ATU 33.3;Demarcación del Pavimento, en ciclovías;Km.;;;
57;ATU 33.4;Bandas Alertadoras;m;;;
58;ATU 35;Reparación de paraderos de Buses;Unidad;;;
59;ATU 36.2;Valla Peatonal;m;;;
60;ATU 36.3;Valla Segregatoria;m;;;
61;ATU 36.4;Valla Antivandalismo;m2;;;
62;ATU 37;Mantención de Paisajismo y Protección de Taludes;gl;;;
63;ATU 38;Borrado de grafitis;m2;;;
64;BTU 4;Reconstrucción de Bajadas de Aguas;Unidad;;;
65;BTU 15.1;Reconstrucción de Alcantarilla de Tubos ;m;;;
66;BTU 5;Revestimiento con Mampostería de Piedra;m2;;;
67;BTU 8;Sello Tipo Lechada Asfáltica;m2;;;
68;BTU 19;Limpieza de Placas de Apoyo;Unidad;;;
69;BTU 23;Limpieza despeje de Cauce y Defensas Fluviales;gl;;;
70;BTU 24;Limpieza Junta de Dilatación;m;;;
71;BTU 25;Limpieza  de Barbacanas y Calzadas;Unidad;;;
72;BTU 27;Construcción de Aceras de Hormigón;m2;;;
73;BTU 29;Actualización de Programa de Mantención;gl;;;
74;BTU 30;Indicadores de Pavimento;gl;;;
